region,week,week_of_year,rainfall_anomaly,monsoon_phase,festival_intensity,sev_dengue,sev_malaria,sev_flu,sev_diarrhoeal,sev_respiratory,sev_typhoid,sev_chikungunya,sev_leptospirosis,date
East,0,1,0.021,winter,0.4,0.056,0.0,0.689,0.022,0.728,0.002,0.012,0.009,2023-01-02
East,1,2,-0.067,winter,0.3,0.023,0.0,0.696,0.022,0.65,0.011,0.0,0.0,2023-01-09
East,2,3,0.043,winter,0.3,0.013,0.0,0.705,0.011,0.549,0.003,0.022,0.017,2023-01-16
East,3,4,0.005,winter,0.0,0.025,0.0,0.63,0.09,0.509,0.0,0.015,0.02,2023-01-23
East,4,5,-0.024,winter,0.0,0.027,0.0,0.562,0.071,0.394,0.016,0.011,0.0,2023-01-30
East,5,6,-0.025,winter,0.0,0.015,0.0,0.519,0.084,0.327,0.0,0.0,0.0,2023-02-06
East,6,7,-0.024,winter,0.0,0.0,0.0,0.401,0.129,0.271,0.0,0.002,0.006,2023-02-13
East,7,8,0.005,winter,0.0,0.0,0.005,0.375,0.143,0.17,0.0,0.0,0.0,2023-02-20
East,8,9,-0.097,winter,0.0,0.008,0.05,0.273,0.111,0.129,0.0,0.027,0.0,2023-02-27
East,9,10,-0.063,winter,0.0,0.0,0.007,0.198,0.187,0.084,0.054,0.021,0.023,2023-03-06
East,10,11,0.041,winter,0.7,0.0,0.012,0.108,0.243,0.081,0.009,0.005,0.028,2023-03-13
East,11,12,0.051,winter,0.7,0.005,0.0,0.138,0.272,0.025,0.02,0.0,0.008,2023-03-20
East,12,13,0.13,winter,0.7,0.016,0.0,0.032,0.321,0.002,0.0,0.025,0.033,2023-03-27
East,13,14,0.034,winter,0.5,0.0,0.007,0.042,0.442,0.002,0.0,0.008,0.0,2023-04-03
East,14,15,0.017,pre-monsoon,0.5,0.0,0.0,0.052,0.388,0.068,0.0,0.073,0.0,2023-04-10
East,15,16,0.109,pre-monsoon,0.0,0.0,0.029,0.004,0.451,0.002,0.025,0.025,0.009,2023-04-17
East,16,17,0.119,pre-monsoon,0.0,0.0,0.015,0.047,0.52,0.012,0.092,0.012,0.023,2023-04-24
East,17,18,0.183,pre-monsoon,0.0,0.0,0.029,0.002,0.595,0.0,0.099,0.0,0.008,2023-05-01
East,18,19,0.316,pre-monsoon,0.0,0.027,0.043,0.0,0.655,0.031,0.182,0.021,0.002,2023-05-08
East,19,20,0.198,pre-monsoon,0.0,0.0,0.063,0.02,0.704,0.0,0.182,0.016,0.0,2023-05-15
East,20,21,0.309,pre-monsoon,0.0,0.0,0.083,0.016,0.732,0.011,0.211,0.015,0.037,2023-05-22
East,21,22,0.398,pre-monsoon,0.0,0.01,0.166,0.006,0.735,0.0,0.366,0.0,0.0,2023-05-29
East,22,23,0.385,pre-monsoon,0.5,0.058,0.221,0.021,0.839,0.0,0.413,0.269,0.0,2023-06-05
East,23,24,0.46,pre-monsoon,0.5,0.069,0.208,0.001,0.807,0.004,0.514,0.0,0.005,2023-06-12
East,24,25,0.646,monsoon,0.5,0.094,0.3,0.0,0.763,0.0,0.578,0.027,0.0,2023-06-19
East,25,26,0.753,monsoon,0.0,0.094,0.326,0.0,0.838,0.01,0.658,0.0,0.0,2023-06-26
East,26,27,0.685,monsoon,0.0,0.142,0.413,0.009,0.772,0.027,0.714,0.0,0.049,2023-07-03
East,27,28,0.921,monsoon,0.0,0.216,0.44,0.0,0.736,0.0,0.689,0.048,0.0,2023-07-10
East,28,29,0.84,monsoon,0.0,0.269,0.506,0.027,0.725,0.007,0.688,0.0,0.0,2023-07-17
East,29,30,0.871,monsoon,0.0,0.366,0.509,0.011,0.709,0.0,0.609,0.022,0.0,2023-07-24
East,30,31,0.642,monsoon,0.0,0.491,0.476,0.0,0.643,0.237,0.567,0.041,0.0,2023-07-31
East,31,32,0.935,monsoon,0.0,0.551,0.498,0.006,0.582,0.0,0.469,0.0,0.0,2023-08-07
East,32,33,0.761,monsoon,0.0,0.58,0.413,0.0,0.514,0.031,0.438,0.051,0.0,2023-08-14
East,33,34,0.723,monsoon,0.0,0.65,0.35,0.0,0.487,0.045,0.337,0.014,0.0,2023-08-21
East,34,35,0.717,monsoon,0.0,0.728,0.267,0.032,0.441,0.006,0.236,0.05,0.0,2023-08-28
East,35,36,0.675,monsoon,0.2,0.774,0.289,0.0,0.347,0.04,0.201,0.013,0.032,2023-09-04
East,36,37,0.545,monsoon,0.2,0.852,0.199,0.016,0.335,0.088,0.106,0.006,0.036,2023-09-11
