store_id,drug_id,city,state,region,week,date,demand,units_dispensed,stock_on_hand,units_ordered,stockout
S01,D01,Pune,Maharashtra,West,0,2023-01-02,458,458,2238,0,0
S01,D01,Pune,Maharashtra,West,1,2023-01-09,638,638,1780,0,0
S01,D01,Pune,Maharashtra,West,2,2023-01-16,295,295,1142,1391,0
S01,D01,Pune,Maharashtra,West,3,2023-01-23,538,538,2238,0,0
S01,D01,Pune,Maharashtra,West,4,2023-01-30,524,524,1700,0,0
S01,D01,Pune,Maharashtra,West,5,2023-02-06,674,674,1176,1736,0
S01,D01,Pune,Maharashtra,West,6,2023-02-13,520,520,2238,0,0
S01,D01,Pune,Maharashtra,West,7,2023-02-20,310,310,1718,0,0
S01,D01,Pune,Maharashtra,West,8,2023-02-27,488,488,1408,1318,0
S01,D01,Pune,Maharashtra,West,9,2023-03-06,632,632,2238,0,0
S01,D01,Pune,Maharashtra,West,10,2023-03-13,723,723,1606,1355,0
S01,D01,Pune,Maharashtra,West,11,2023-03-20,309,309,2238,0,0
S01,D01,Pune,Maharashtra,West,12,2023-03-27,317,317,1929,0,0
S01,D01,Pune,Maharashtra,West,13,2023-04-03,691,691,1612,1317,0
S01,D01,Pune,Maharashtra,West,14,2023-04-10,586,586,2238,0,0
S01,D01,Pune,Maharashtra,West,15,2023-04-17,414,414,1652,0,0
S01,D01,Pune,Maharashtra,West,16,2023-04-24,114,114,1238,0,0
S01,D01,Pune,Maharashtra,West,17,2023-05-01,303,303,1124,1417,0
S01,D01,Pune,Maharashtra,West,18,2023-05-08,545,545,2238,0,0
S01,D01,Pune,Maharashtra,West,19,2023-05-15,443,443,1693,0,0
S01,D01,Pune,Maharashtra,West,20,2023-05-22,653,653,1250,1641,0
S01,D01,Pune,Maharashtra,West,21,2023-05-29,365,365,2238,0,0
S01,D01,Pune,Maharashtra,West,22,2023-06-05,576,576,1873,0,0
S01,D01,Pune,Maharashtra,West,23,2023-06-12,375,375,1297,1316,0
S01,D01,Pune,Maharashtra,West,24,2023-06-19,547,547,2238,0,0
S01,D01,Pune,Maharashtra,West,25,2023-06-26,538,538,1691,0,0
S01,D01,Pune,Maharashtra,West,26,2023-07-03,329,329,1153,1414,0
S01,D01,Pune,Maharashtra,West,27,2023-07-10,728,728,2238,0,0
S01,D01,Pune,Maharashtra,West,28,2023-07-17,291,291,1510,0,0
S01,D01,Pune,Maharashtra,West,29,2023-07-24,472,472,1219,1491,0
S01,D01,Pune,Maharashtra,West,30,2023-07-31,530,530,2238,0,0
S01,D01,Pune,Maharashtra,West,31,2023-08-07,604,604,1708,0,0
S01,D01,Pune,Maharashtra,West,32,2023-08-14,512,512,1104,1646,0
S01,D01,Pune,Maharashtra,West,33,2023-08-21,234,234,2238,0,0
S01,D01,Pune,Maharashtra,West,34,2023-08-28,477,477,2004,0,0
S01,D01,Pune,Maharashtra,West,35,2023-09-04,256,256,1527,0,0
S01,D01,Pune,Maharashtra,West,36,2023-09-11,299,299,1271,1266,0
S01,D01,Pune,Maharashtra,West,37,2023-09-18,562,562,2238,0,0
S01,D01,Pune,Maharashtra,West,38,2023-09-25,547,547,1676,0,0
S01,D01,Pune,Maharashtra,West,39,2023-10-02,278,278,1129,1387,0
S01,D01,Pune,Maharashtra,West,40,2023-10-09,612,612,2238,0,0
S01,D01,Pune,Maharashtra,West,41,2023-10-16,144,144,1626,0,0
S01,D01,Pune,Maharashtra,West,42,2023-10-23,350,350,1482,0,0
S01,D01,Pune,Maharashtra,West,43,2023-10-30,399,399,1132,1505,0
S01,D01,Pune,Maharashtra,West,44,2023-11-06,354,354,2238,0,0
S01,D01,Pune,Maharashtra,West,45,2023-11-13,606,606,1884,0,0
S01,D01,Pune,Maharashtra,West,46,2023-11-20,847,847,1278,1807,0
S01,D01,Pune,Maharashtra,West,47,2023-11-27,404,404,2238,0,0
S01,D01,Pune,Maharashtra,West,48,2023-12-04,402,402,1834,0,0
S01,D01,Pune,Maharashtra,West,49,2023-12-11,482,482,1432,1288,0
S01,D01,Pune,Maharashtra,West,50,2023-12-18,580,580,2238,0,0
S01,D01,Pune,Maharashtra,West,51,2023-12-25,483,483,1658,0,0
S01,D01,Pune,Maharashtra,West,52,2024-01-01,435,435,1175,1498,0
S01,D01,Pune,Maharashtra,West,53,2024-01-08,348,348,2238,0,0
S01,D01,Pune,Maharashtra,West,54,2024-01-15,393,393,1890,0,0
S01,D01,Pune,Maharashtra,West,55,2024-01-22,625,625,1497,1366,0
S01,D01,Pune,Maharashtra,West,56,2024-01-29,605,605,2238,0,0
S01,D01,Pune,Maharashtra,West,57,2024-02-05,318,318,1633,0,0
